facility_name,city,postal_code,CSDname,latitude,longitude,street_no,street_name,province,odhf_facility_type
Sault Area Hospital,sault ste marie,P6B 0A8,Sault Ste. Marie,46.5488136,-84.3111593,750,great northern rd,on,Hospitals
Sensenbrenner Hospital,kapuskasing,P5N 3H5,Kapuskasing,49.42561,-82.427581,101,progress cres,on,Hospitals
Shouldice Hospital Ltd.,thornhill,L3T 4A3,Markham,43.8206976,-79.40423840000001,7750,bayview ave,on,Hospitals
Sioux Lookout Meno Ya Win Health Centre,sioux lookout,P8T 1B4,Sioux Lookout,50.1045094,-91.9268373,1,meno ya win way,on,Hospitals
Sioux Lookout Meno-Ya-Win Health Centre - Seventh Avenue Site,sioux lookout,P8T 1C2,Sioux Lookout,50.1024549,-91.9241884,74,7 ave,on,Hospitals
Smooth Rock Falls Hospital,smooth rock falls,P0L 2B0,Smooth Rock Falls,49.272285,-81.610265,107,kelly rd,on,Hospitals
South Bruce Grey Health Centre - Walkerton,walkerton,N0G 2V0,Brockton,44.1229318,-81.1528703,21,mcgivern st,on,Hospitals
South Bruce Grey Health Centre - Chesley,chesley,N0G 1L0,Arran-Elderslie,44.298492,-81.093232,39,2 st se,on,Hospitals
South Bruce Grey Health Centre - Durham,durham,N0G 1R0,West Grey,44.1798659,-80.828585,320,college st,on,Hospitals
South Bruce Grey Health Centre - Kincardine,kincardine,N2Z 2Z2,Kincardine,44.1890238,-81.62547540000001,43,queen st,on,Hospitals
South Huron Hospital,exeter,N0M 1S2,South Huron,43.3434413,-81.4808245,24,huron st w,on,Hospitals
South Muskoka Memorial Hospital,bracebridge,P1L 2E4,Bracebridge,45.04781,-79.314359,75,ann st,on,Hospitals
Southlake Regional Health Centre,newmarket,L3Y 2P9,Newmarket,44.0602265,-79.4522927,596,davis dr,on,Hospitals
St. Francis Memorial Hospital,barrys bay,K0J 1B0,Madawaska Valley,45.482208,-77.69469699999999,7,st francis memorial dr,on,Hospitals
St. John's Rehabilitation Hospital,toronto,M2M 2G1,Toronto,43.7875454,-79.40405679999999,285,cummer ave,on,Hospitals
St. Joseph's Care Group - Lakehead Psychiatric Hospital,thunder bay,P7B 5G4,Thunder Bay,48.438058000000005,-89.222677,580,algoma st n,on,Hospitals
St. Joseph’s Health Centre of Sudbury,sudbury,P3E 0B6,Greater Sudbury / Grand Sudbury,46.46719898,-80.96760137,1140,south bay road,on,Hospitals
St. Joseph's General Hospital - Elliot Lake,elliot lake,P5A 1X2,Elliot Lake,46.384833,-82.660924,70,spine rd,on,Hospitals
St. Joseph's Health Care London - Parkwood,london,N6C 0A7,London,42.9554185,-81.22527170000001,550,wellington road,on,Hospitals
St. Joseph's Health Centre - Toronto,toronto,M6R 1B5,Toronto,43.640631,-79.450314,30,the queensway,on,Hospitals
St. Joseph's Healthcare - Charlton Campus,hamilton,L8N 4A6,Hamilton,43.240445,-79.884108,50,charlton ave e,on,Hospitals
St. Joseph's Healthcare - West 5th Campus,hamilton,L8N 3K7,Hamilton,43.240445,-79.884108,100,west 5 st,on,Hospitals
St. Joseph's Healthcare Hamilton,hamilton,L8P 2Z2,Hamilton,43.25397419,-79.8705761,100,james street s,on,Hospitals
St. Joseph's Healthcare Hamilton - King Campus,hamilton,L8G 5E4,Hamilton,43.22058869,-79.77488487,2757,king street e,on,Hospitals
St. Joseph's Hospital - London,london,N6A 4V2,London,43.000280100000005,-81.25334699999999,268,grosvenor st,on,Hospitals
St. Mary's General Hospital,kitchener,N2M 1B2,Kitchener,43.4382883,-80.5007975,911,queens blvd,on,Hospitals
St. Michael's Hospital - Bond St. Site,toronto,M5B 1W8,Toronto,43.65391470000001,-79.37767059999999,30,bond st,on,Hospitals
St. Thomas - Elgin General Hospital,st thomas,N5R 5C4,St. Thomas,42.7628781,-81.18078270000001,189,elm st,on,Hospitals
Stevenson Memorial Hospital,alliston,L9R 1W7,New Tecumseth,44.155748,-79.875121,200,fletcher cres,on,Hospitals
Strathroy Middlesex General Hospital,strathroy,N7G 3J4,Strathroy-Caradoc,42.9609382,-81.63469640000001,395,carrie st,on,Hospitals
Sunnybrook Health Sciences Centre,toronto,M4Y 1H1,Toronto,43.6650195,-79.38233609999999,43,wellesley st e,on,Hospitals
Sunnybrook Health Sciences Centre - Women's College Hospital,toronto,M5S 1B2,Toronto,43.66171,-79.387745,76,grenville st,on,Hospitals
Sunnybrook Health Sciences Centre — Reactivation Care Centre Church,toronto,M9N 1N8,Toronto,,,,,on,Hospitals
Temiskaming Hospital,new liskeard,P0J 1P0,Temiskaming Shores,47.495162,-79.69315300000001,421,shepheardson rd,on,Hospitals
THE OTTAWA HOSPITAL/L'HÔPITAL D'OTTAWA - GENERAL CAMPUS,ottawa,K1H 8L6,Ottawa,45.40172020000001,-75.6469402,501,smyth rd,on,Hospitals
the Ottawa Hospital - Riverside Campus,ottawa,K1H 7W9,Ottawa,45.3963547,-75.66885570000001,1967,riverside dr,on,Hospitals
THE OTTAWA HOSPITAL/L'HÔPITAL D'OTTAWA - THE REHABILITATION CENTRE,ottawa,K1H 8M2,Ottawa,45.4031548,-75.6484435,505,smyth rd,on,Hospitals
the Ottawa Hospital - Civic Campus,ottawa,K1Y 4E9,Ottawa,45.3925787,-75.7214357,1053,carling ave,on,Hospitals
Check Address for Confirmation,barrie,L4M 6M2,Barrie,44.4159999,-79.66193100000001,201,georgian dr,on,Hospitals
the Scarborough Hospital - General Campus,scarborough,M1P 2V5,Toronto,43.7557343,-79.2468315,3050,lawrence ave e,on,Hospitals
the Scarborough Hospital - Grace Campus,scarborough,M1W 3W3,Toronto,43.8018288,-79.3087567,3030,birchmount rd,on,Hospitals
the University of Ottawa Heart Institute,ottawa,K1Y 4W7,Ottawa,45.394161100000005,-75.7206815,40,ruskin st,on,Hospitals
Thessalon Hospital,thessalon,P0R 1L0,Thessalon,46.2630206,-83.56246259999999,135,dawson st,on,Hospitals
Thunder Bay Regional Health Sciences Centre,thunder bay,P7B 6V4,Thunder Bay,48.4247133,-89.269097,980,oliver rd,on,Hospitals
Tillsonburg District Memorial Hospital,tillsonburg,N4G 3Y9,Tillsonburg,42.863122,-80.734751,167,rolph st,on,Hospitals
TIMMINS AND DISTRICT HOSPITAL/L'HÔPITAL DE TIMMINS ET DU DISTRICT,timmins,P4N 8P2,Timmins,48.4875869,-81.3135915,700,ross ave e,on,Hospitals
Toronto East General Hospital,toronto,M4C 3E7,Toronto,43.6897586,-79.3259225,825,coxwell ave,on,Hospitals
Toronto Rehabilitation Institute - e. w. Bickle Centre,toronto,M6K 2R7,Toronto,43.6348034,-79.43270940000001,130,dunn ave,on,Hospitals
